2025-07-29 04:37:44.004 355 Loaded 0 items
2025-07-29 06:29:49.074 315 Sync manager initialized: redroid/redroid_x86_64/redroid_x86_64:11/RD2A.211001.002/eng.frank.20240527.144006:userdebug/test-keys
2025-07-29 06:29:49.124 315 onStartUser: user=0
2025-07-29 06:29:49.154 315 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.158 315 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.162 315 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.162 315 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.167 315 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.199 315 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.229 315 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.287 315 scheduleSync: no accounts configured, dropping
2025-07-29 06:29:49.290 315 rescheduleSyncs() ep=ALL ACCS/ALL PDRS:u-1 why=network reconnect
2025-07-29 06:29:49.290 315 Loaded persisted syncs: 0 periodic syncs, 0 oneshot syncs, 13 total system server jobs, JobStats: FirstLoad: 4/4/0 LastSave: -1/-1/-1
2025-07-29 06:29:49.400 315 onUnlockUser: user=0
